[2024-03-10T21:06:09.341516300] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-10T21:08:29.675958100] User: users, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-10T21:08:52.330744] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-10T21:09:50.384727700] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-10T21:10:28.575524200] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-10T21:12:58.455087300] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-11T21:24:46.086224600] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:25:17.323035400] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:26:11.449325400] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:26:14.396466700] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:26:17.685091700] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:26:23.978453] User: albums, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:46:46.448763900] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-11T21:48:52.965215] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:48:56.014107200] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:48:57.339160300] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-11T21:49:02.701768900] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-11T21:54:44.016387200] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:54:44.379297200] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-11T21:56:35.770060300] User: users, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-11T22:03:43.981506300] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-11T22:04:12.153823100] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-11T22:04:18.440011400] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: DELETE
[2024-03-11T22:04:42.984297] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-11T22:05:25.133560300] User: admin, Access Granted: YES, RequestUrl: /api/posts, Method: POST
[2024-03-11T22:05:50.177639700] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: PUT
[2024-03-11T22:17:11.886623400] User: albums, Access Granted: Access denied: Access Denied, RequestUrl: uri=/api/users/1, Method: ERROR
[2024-03-12T01:28:36.957349] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-12T01:31:37.194549600] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-12T01:45:25.296343] User: admin, Access Granted: YES, RequestUrl: /api/albums/1, Method: GET
[2024-03-12T01:45:27.617417600] User: admin, Access Granted: NO No static resource api/users/get/2., RequestUrl: uri=/api/users/get/2, Method: ERROR
[2024-03-12T01:45:37.783940500] User: admin, Access Granted: NO No static resource api/users/get/2., RequestUrl: uri=/api/users/get/2, Method: ERROR
[2024-03-12T01:45:44.911833700] User: admin, Access Granted: YES, RequestUrl: /api/posts/1, Method: GET
[2024-03-12T01:45:51.041591400] User: admin, Access Granted: YES, RequestUrl: /api/users/1, Method: GET
[2024-03-12T01:45:54.873716100] User: admin, Access Granted: YES, RequestUrl: /api/users/3, Method: GET
[2024-03-12T01:46:35.055114200] User: users, Access Granted: NO No static resource api/users/get/1., RequestUrl: uri=/api/users/get/1, Method: ERROR
[2024-03-12T01:46:37.322671600] User: users, Access Granted: NO No static resource api/users/get/1., RequestUrl: uri=/api/users/get/1, Method: ERROR
